15:35:08.558 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8081"]
15:35:08.592 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8081 (http) with context path ''
15:35:08.598 [main] INFO  com.ntu.datasync.DatasyncApplication - Started DatasyncApplication in 18.951 seconds (JVM running for 21.333)
15:36:00.551 [center] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
15:36:01.183 [center] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
15:36:08.555 [node] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-2 - Starting...
15:36:08.564 [node] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-2 - Start completed.
15:36:08.730 [nioEventLoopGroup-3-2] INFO  io.moquette.broker.metrics.MQTTMessageLogger - C<-B PUBACK <center> packetID <2>
15:36:09.576 [node] INFO  com.ntu.datasync.sync.SendThread - 发送消息:Book{bookId=31, bookName='万历十五年', bookIsbn='9787108009821', bookAuthor='黄仁宇 ', bookStatus='0'}
15:36:09.616 [nioEventLoopGroup-3-2] INFO  io.moquette.broker.metrics.MQTTMessageLogger - C<-B PUBACK <center> packetID <3>
15:36:09.805 [MQTT Call: node10000000] INFO  com.ntu.datasync.sync.DataReceiver - 31 号数据同步失败
15:36:09.849 [nioEventLoopGroup-3-1] INFO  io.moquette.broker.metrics.MQTTMessageLogger - C<-B PUBACK <node10000000> packetID <2>
15:36:10.474 [nioEventLoopGroup-3-1] INFO  io.moquette.broker.metrics.MQTTMessageLogger - C->B PUBACK <node10000000> packetID <1>
15:36:10.575 [node] INFO  com.ntu.datasync.sync.SendThread - 发送消息:Book{bookId=8, bookName='5465465', bookIsbn='5412', bookAuthor='dasdas', bookStatus='1'}
15:36:10.626 [nioEventLoopGroup-3-2] INFO  io.moquette.broker.metrics.MQTTMessageLogger - C->B PUBACK <center> packetID <1>
15:36:10.677 [MQTT Call: node10000000] INFO  com.ntu.datasync.sync.DataReceiver - 8 号数据同步失败
15:36:10.701 [nioEventLoopGroup-3-1] INFO  io.moquette.broker.metrics.MQTTMessageLogger - C<-B PUBACK <node10000000> packetID <3>
15:36:11.474 [nioEventLoopGroup-3-1] INFO  io.moquette.broker.metrics.MQTTMessageLogger - C->B PUBACK <node10000000> packetID <2>
15:36:11.656 [nioEventLoopGroup-3-2] INFO  io.moquette.broker.metrics.MQTTMessageLogger - C->B PUBACK <center> packetID <2>
15:37:10.701 [nioEventLoopGroup-3-2] INFO  io.moquette.broker.metrics.MQTTMessageLogger - C<-B PUBACK <center> packetID <4>
15:37:11.598 [node] INFO  com.ntu.datasync.sync.SendThread - 发送消息:Book{bookId=31, bookName='万历十五年', bookIsbn='9787108009821', bookAuthor='黄仁宇 ', bookStatus='0'}
15:37:11.663 [nioEventLoopGroup-3-2] INFO  io.moquette.broker.metrics.MQTTMessageLogger - C<-B PUBACK <center> packetID <5>
15:37:11.704 [MQTT Call: node10000000] INFO  com.ntu.datasync.sync.DataReceiver - 31 号数据同步失败
15:37:11.795 [nioEventLoopGroup-3-1] INFO  io.moquette.broker.metrics.MQTTMessageLogger - C<-B PUBACK <node10000000> packetID <4>
15:37:12.505 [nioEventLoopGroup-3-1] INFO  io.moquette.broker.metrics.MQTTMessageLogger - C->B PUBACK <node10000000> packetID <3>
15:37:12.599 [node] INFO  com.ntu.datasync.sync.SendThread - 发送消息:Book{bookId=8, bookName='5465465', bookIsbn='5412', bookAuthor='dasdas', bookStatus='1'}
15:37:12.683 [nioEventLoopGroup-3-2] INFO  io.moquette.broker.metrics.MQTTMessageLogger - C->B PUBACK <center> packetID <3>
15:37:12.716 [MQTT Call: node10000000] INFO  com.ntu.datasync.sync.DataReceiver - 8 号数据同步失败
15:37:12.736 [nioEventLoopGroup-3-1] INFO  io.moquette.broker.metrics.MQTTMessageLogger - C<-B PUBACK <node10000000> packetID <5>
15:37:13.506 [nioEventLoopGroup-3-1] INFO  io.moquette.broker.metrics.MQTTMessageLogger - C->B PUBACK <node10000000> packetID <4>
15:37:13.677 [nioEventLoopGroup-3-2] INFO  io.moquette.broker.metrics.MQTTMessageLogger - C->B PUBACK <center> packetID <4>
15:38:12.679 [nioEventLoopGroup-3-2] INFO  io.moquette.broker.metrics.MQTTMessageLogger - C<-B PUBACK <center> packetID <6>
15:38:13.625 [node] INFO  com.ntu.datasync.sync.SendThread - 发送消息:Book{bookId=31, bookName='万历十五年', bookIsbn='9787108009821', bookAuthor='黄仁宇 ', bookStatus='0'}
15:38:13.697 [nioEventLoopGroup-3-2] INFO  io.moquette.broker.metrics.MQTTMessageLogger - C<-B PUBACK <center> packetID <7>
15:38:13.732 [MQTT Call: node10000000] INFO  com.ntu.datasync.sync.DataReceiver - 31 号数据同步失败
15:38:13.770 [nioEventLoopGroup-3-1] INFO  io.moquette.broker.metrics.MQTTMessageLogger - C<-B PUBACK <node10000000> packetID <6>
15:38:14.524 [nioEventLoopGroup-3-1] INFO  io.moquette.broker.metrics.MQTTMessageLogger - C->B PUBACK <node10000000> packetID <5>
15:38:14.626 [node] INFO  com.ntu.datasync.sync.SendThread - 发送消息:Book{bookId=8, bookName='5465465', bookIsbn='5412', bookAuthor='dasdas', bookStatus='1'}
15:38:14.660 [nioEventLoopGroup-3-2] INFO  io.moquette.broker.metrics.MQTTMessageLogger - C->B PUBACK <center> packetID <5>
15:38:14.773 [MQTT Call: node10000000] INFO  com.ntu.datasync.sync.DataReceiver - 8 号数据同步失败
15:38:14.797 [nioEventLoopGroup-3-1] INFO  io.moquette.broker.metrics.MQTTMessageLogger - C<-B PUBACK <node10000000> packetID <7>
15:38:15.525 [nioEventLoopGroup-3-1] INFO  io.moquette.broker.metrics.MQTTMessageLogger - C->B PUBACK <node10000000> packetID <6>
15:38:15.701 [nioEventLoopGroup-3-2] INFO  io.moquette.broker.metrics.MQTTMessageLogger - C->B PUBACK <center> packetID <6>
15:39:14.685 [nioEventLoopGroup-3-2] INFO  io.moquette.broker.metrics.MQTTMessageLogger - C<-B PUBACK <center> packetID <8>
15:39:15.660 [node] INFO  com.ntu.datasync.sync.SendThread - 发送消息:Book{bookId=169, bookName='少年PI的奇幻漂流', bookIsbn='9787544731706', bookAuthor='〔加拿大〕扬·马特尔', bookStatus='0'}
15:39:15.711 [nioEventLoopGroup-3-2] INFO  io.moquette.broker.metrics.MQTTMessageLogger - C<-B PUBACK <center> packetID <9>
15:39:15.883 [MQTT Call: node10000000] INFO  com.ntu.datasync.sync.DataReceiver - 169 号数据同步成功
15:39:15.928 [nioEventLoopGroup-3-1] INFO  io.moquette.broker.metrics.MQTTMessageLogger - C<-B PUBACK <node10000000> packetID <8>
15:39:16.556 [nioEventLoopGroup-3-1] INFO  io.moquette.broker.metrics.MQTTMessageLogger - C->B PUBACK <node10000000> packetID <7>
15:39:16.660 [node] INFO  com.ntu.datasync.sync.SendThread - 发送消息:Book{bookId=213, bookName='活着', bookIsbn='9787506365437', bookAuthor='余华', bookStatus='0'}
15:39:16.733 [nioEventLoopGroup-3-2] INFO  io.moquette.broker.metrics.MQTTMessageLogger - C<-B PUBACK <center> packetID <10>
15:39:16.765 [nioEventLoopGroup-3-2] INFO  io.moquette.broker.metrics.MQTTMessageLogger - C->B PUBACK <center> packetID <7>
15:39:16.911 [MQTT Call: node10000000] INFO  com.ntu.datasync.sync.DataReceiver - 213 号数据同步成功
15:39:16.957 [nioEventLoopGroup-3-1] INFO  io.moquette.broker.metrics.MQTTMessageLogger - C<-B PUBACK <node10000000> packetID <9>
15:39:17.557 [nioEventLoopGroup-3-1] INFO  io.moquette.broker.metrics.MQTTMessageLogger - C->B PUBACK <node10000000> packetID <8>
15:39:17.660 [node] INFO  com.ntu.datasync.sync.SendThread - 发送消息:Book{bookId=31, bookName='万历十五年', bookIsbn='9787108009821', bookAuthor='黄仁宇 ', bookStatus='0'}
15:39:17.696 [nioEventLoopGroup-3-2] INFO  io.moquette.broker.metrics.MQTTMessageLogger - C<-B PUBACK <center> packetID <11>
15:39:17.717 [nioEventLoopGroup-3-2] INFO  io.moquette.broker.metrics.MQTTMessageLogger - C->B PUBACK <center> packetID <8>
15:39:17.807 [MQTT Call: node10000000] INFO  com.ntu.datasync.sync.DataReceiver - 31 号数据同步失败
15:39:17.854 [nioEventLoopGroup-3-1] INFO  io.moquette.broker.metrics.MQTTMessageLogger - C<-B PUBACK <node10000000> packetID <10>
15:39:18.557 [nioEventLoopGroup-3-1] INFO  io.moquette.broker.metrics.MQTTMessageLogger - C->B PUBACK <node10000000> packetID <9>
15:39:18.660 [node] INFO  com.ntu.datasync.sync.SendThread - 发送消息:Book{bookId=322, bookName='三体', bookIsbn='9787536692930', bookAuthor='刘慈欣 ', bookStatus='0'}
15:39:18.691 [nioEventLoopGroup-3-2] INFO  io.moquette.broker.metrics.MQTTMessageLogger - C<-B PUBACK <center> packetID <12>
15:39:18.731 [nioEventLoopGroup-3-2] INFO  io.moquette.broker.metrics.MQTTMessageLogger - C->B PUBACK <center> packetID <9>
15:39:18.904 [MQTT Call: node10000000] INFO  com.ntu.datasync.sync.DataReceiver - 322 号数据同步成功
15:39:18.951 [nioEventLoopGroup-3-1] INFO  io.moquette.broker.metrics.MQTTMessageLogger - C<-B PUBACK <node10000000> packetID <11>
15:39:19.558 [nioEventLoopGroup-3-1] INFO  io.moquette.broker.metrics.MQTTMessageLogger - C->B PUBACK <node10000000> packetID <10>
15:39:19.662 [node] INFO  com.ntu.datasync.sync.SendThread - 发送消息:Book{bookId=8, bookName='5465465', bookIsbn='5412', bookAuthor='dasdas', bookStatus='1'}
15:39:19.687 [nioEventLoopGroup-3-2] INFO  io.moquette.broker.metrics.MQTTMessageLogger - C->B PUBACK <center> packetID <10>
15:39:19.768 [MQTT Call: node10000000] INFO  com.ntu.datasync.sync.DataReceiver - 8 号数据同步失败
15:39:19.821 [nioEventLoopGroup-3-1] INFO  io.moquette.broker.metrics.MQTTMessageLogger - C<-B PUBACK <node10000000> packetID <12>
15:39:20.559 [nioEventLoopGroup-3-1] INFO  io.moquette.broker.metrics.MQTTMessageLogger - C->B PUBACK <node10000000> packetID <11>
15:39:20.739 [nioEventLoopGroup-3-2] INFO  io.moquette.broker.metrics.MQTTMessageLogger - C->B PUBACK <center> packetID <11>
