14:28:42.091 [main] INFO  com.ntu.center.CenterClientApplication - No active profile set, falling back to default profiles: default
14:28:44.965 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 9999 (http)
14:28:44.985 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-9999"]
14:28:44.986 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
14:28:44.987 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.33]
14:28:45.234 [main] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
14:28:45.234 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 2949 ms
14:28:46.032 [main] INFO  org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
14:28:46.593 [main] INFO  com.ntu.common.client.EMQTTClient - connecting to server: ssl://127.0.0.1:8883
14:28:53.399 [main] INFO  com.ntu.center.CenterClientStart - 中央数据库节点成功连接至MQTT服务器.....
14:28:53.403 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-9999"]
14:28:53.446 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 9999 (http) with context path ''
14:28:53.450 [main] INFO  com.ntu.center.CenterClientApplication - Started CenterClientApplication in 12.881 seconds (JVM running for 16.68)
14:28:54.519 [MQTT Rec: center] INFO  com.ntu.common.client.EMQTTClient - -----------连接断开-----------
14:28:54.519 [MQTT Rec: center] INFO  com.ntu.common.client.EMQTTClient - connecting to server: ssl://127.0.0.1:8883
14:29:33.124 [main] INFO  com.ntu.center.CenterClientApplication - Starting CenterClientApplication on LAPTOP-6SA701DM with PID 2904 (C:\Users\Lenovo\Desktop\datasync\center-client\target\classes started by Lenovo in C:\Users\Lenovo\Desktop\datasync)
14:29:33.133 [main] INFO  com.ntu.center.CenterClientApplication - No active profile set, falling back to default profiles: default
14:29:35.842 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 9999 (http)
14:29:35.862 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-9999"]
14:29:35.862 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
14:29:35.863 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.33]
14:29:36.125 [main] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
14:29:36.125 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 2805 ms
14:29:36.855 [main] INFO  org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
14:29:37.363 [main] INFO  com.ntu.common.client.EMQTTClient - connecting to server: ssl://127.0.0.1:8883
14:29:43.861 [main] INFO  com.ntu.center.CenterClientStart - 中央数据库节点成功连接至MQTT服务器.....
14:29:43.865 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-9999"]
14:29:43.907 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 9999 (http) with context path ''
14:29:43.913 [main] INFO  com.ntu.center.CenterClientApplication - Started CenterClientApplication in 12.024 seconds (JVM running for 15.799)
14:32:45.894 [MQTT Call: center] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
14:32:46.260 [MQTT Call: center] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
14:32:46.459 [MQTT Call: center] INFO  com.ntu.center.sync.processor.Processor1 - ==========数据同步完成===========
14:32:46.509 [MQTT Call: center] INFO  com.ntu.center.sync.CenterDataReceiver - CJ_BOX_SENSOR 表中的 7 号数据同步成功
14:35:14.039 [MQTT Call: center] INFO  com.ntu.center.sync.processor.Processor1 - ==========数据同步完成===========
14:35:14.107 [MQTT Call: center] INFO  com.ntu.center.sync.CenterDataReceiver - CJ_BOX_SENSOR 表中的 8 号数据同步成功
