16:26:37.140 [main] INFO  com.ntu.client2.Node2ClientApplication - Starting Node2ClientApplication on LAPTOP-6SA701DM with PID 13244 (C:\Users\Lenovo\Desktop\datasync\datasync_node2_client\target\classes started by Lenovo in C:\Users\Lenovo\Desktop\datasync)
16:26:37.155 [main] INFO  com.ntu.client2.Node2ClientApplication - No active profile set, falling back to default profiles: default
16:26:40.494 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8084 (http)
16:26:40.512 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8084"]
16:26:40.514 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
16:26:40.514 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.33]
16:26:40.782 [main] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
16:26:40.783 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 3438 ms
16:26:42.516 [main] INFO  org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
16:26:42.793 [main] INFO  springfox.documentation.spring.web.plugins.DocumentationPluginsBootstrapper - Context refreshed
16:26:42.832 [main] INFO  springfox.documentation.spring.web.plugins.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s)
16:26:42.859 [main] INFO  springfox.documentation.spring.web.scanners.ApiListingReferenceScanner - Scanning for api listing references
16:26:43.277 [main] INFO  com.ntu.common.client.EMQTTClient - connecting to server: ssl://127.0.0.1:8883
16:26:49.917 [main] INFO  com.ntu.client2.ClientStart - 团结河节点成功连接至MQTT服务器.........
16:26:49.921 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8084"]
16:26:49.963 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8084 (http) with context path ''
16:26:49.969 [main] INFO  com.ntu.client2.Node2ClientApplication - Started Node2ClientApplication in 14.065 seconds (JVM running for 18.332)
16:27:07.109 [http-nio-8084-exec-1] INFO  org.apache.tomcat.util.http.parser.Cookie - A cookie header was received [1590040176,1590062906,1590650912; Hm_lpvt_eaa57ca47dacb4ad4f5a257001a3457c=1590653215] that contained an invalid cookie. That cookie will be ignored.
 Note: further occurrences of this error will be logged at DEBUG level.
16:27:07.125 [http-nio-8084-exec-1] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
16:27:07.125 [http-nio-8084-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
16:27:07.138 [http-nio-8084-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 12 ms
