16:26:39.806 [main] INFO  com.ntu.client2.Node2ClientApplication - Starting Node2ClientApplication on LAPTOP-6SA701DM with PID 12480 (C:\Users\Lenovo\Desktop\datasync\datasync_node2_client\target\classes started by Lenovo in C:\Users\Lenovo\Desktop\datasync)
16:26:39.817 [main] INFO  com.ntu.client2.Node2ClientApplication - No active profile set, falling back to default profiles: default
16:26:42.813 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8084 (http)
16:26:42.828 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8084"]
16:26:42.829 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
16:26:42.830 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.33]
16:26:43.084 [main] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
16:26:43.085 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 2924 ms
16:26:45.038 [main] INFO  org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
16:26:45.514 [main] INFO  com.ntu.common.client.EMQTTClient - connecting to server: ssl://127.0.0.1:8883
16:26:52.646 [main] INFO  com.ntu.client2.ClientStart - 团结河节点成功连接至MQTT服务器.........
16:26:52.651 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8084"]
16:26:52.709 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8084 (http) with context path ''
16:26:52.719 [main] INFO  com.ntu.client2.Node2ClientApplication - Started Node2ClientApplication in 14.593 seconds (JVM running for 19.433)
16:27:03.399 [node2] INFO  com.ntu.client2.sync.SendThread - DataSync(infoId=38, infoType=P, syncType=1, syncStatus=2, successTime=null, failTime=Wed May 20 16:23:31 CST 2020, failCount=1, syncMsg=中央数据库端发生异常, infoNode=null)
16:27:04.143 [node2] INFO  com.ntu.client2.sync.SendThread - 发送消息:SpotNode(infoId=38, nodeId=23, spotId=324, areaId=324, nodeName=32432, nodeType=432, nodeNote=null, infoNode=null)
16:27:04.153 [MQTT Call: tjh_node] INFO  com.ntu.client2.sync.NodeDataReceiver - 收到确认消息.....
16:27:14.147 [node2] INFO  com.ntu.client2.sync.SendThread - DataSync(infoId=38, infoType=P, syncType=1, syncStatus=2, successTime=null, failTime=Wed May 20 16:27:03 CST 2020, failCount=2, syncMsg=中央数据库端发生异常, infoNode=null)
16:27:15.155 [node2] INFO  com.ntu.client2.sync.SendThread - 发送消息:SpotNode(infoId=38, nodeId=23, spotId=324, areaId=324, nodeName=32432, nodeType=432, nodeNote=null, infoNode=null)
16:27:25.158 [node2] INFO  com.ntu.client2.sync.SendThread - DataSync(infoId=38, infoType=P, syncType=1, syncStatus=2, successTime=null, failTime=Wed May 20 16:27:03 CST 2020, failCount=2, syncMsg=中央数据库端发生异常, infoNode=null)
16:27:26.157 [node2] INFO  com.ntu.client2.sync.SendThread - 发送消息:SpotNode(infoId=38, nodeId=23, spotId=324, areaId=324, nodeName=32432, nodeType=432, nodeNote=null, infoNode=null)
16:27:36.160 [node2] INFO  com.ntu.client2.sync.SendThread - DataSync(infoId=38, infoType=P, syncType=1, syncStatus=2, successTime=null, failTime=Wed May 20 16:27:03 CST 2020, failCount=2, syncMsg=中央数据库端发生异常, infoNode=null)
16:27:37.165 [node2] INFO  com.ntu.client2.sync.SendThread - 发送消息:SpotNode(infoId=38, nodeId=23, spotId=324, areaId=324, nodeName=32432, nodeType=432, nodeNote=null, infoNode=null)
16:27:47.743 [node2] INFO  com.ntu.client2.sync.SendThread - DataSync(infoId=38, infoType=P, syncType=1, syncStatus=2, successTime=null, failTime=Wed May 20 16:27:03 CST 2020, failCount=2, syncMsg=中央数据库端发生异常, infoNode=null)
16:27:48.173 [node2] INFO  com.ntu.client2.sync.SendThread - 发送消息:SpotNode(infoId=38, nodeId=23, spotId=324, areaId=324, nodeName=32432, nodeType=432, nodeNote=null, infoNode=null)
16:27:58.176 [node2] INFO  com.ntu.client2.sync.SendThread - DataSync(infoId=38, infoType=P, syncType=1, syncStatus=2, successTime=null, failTime=Wed May 20 16:27:03 CST 2020, failCount=2, syncMsg=中央数据库端发生异常, infoNode=null)
16:27:59.178 [node2] INFO  com.ntu.client2.sync.SendThread - 发送消息:SpotNode(infoId=38, nodeId=23, spotId=324, areaId=324, nodeName=32432, nodeType=432, nodeNote=null, infoNode=null)
16:28:09.182 [node2] INFO  com.ntu.client2.sync.SendThread - DataSync(infoId=38, infoType=P, syncType=1, syncStatus=2, successTime=null, failTime=Wed May 20 16:27:03 CST 2020, failCount=2, syncMsg=中央数据库端发生异常, infoNode=null)
16:28:10.183 [node2] INFO  com.ntu.client2.sync.SendThread - 发送消息:SpotNode(infoId=38, nodeId=23, spotId=324, areaId=324, nodeName=32432, nodeType=432, nodeNote=null, infoNode=null)
16:28:20.188 [node2] INFO  com.ntu.client2.sync.SendThread - DataSync(infoId=38, infoType=P, syncType=1, syncStatus=2, successTime=null, failTime=Wed May 20 16:27:03 CST 2020, failCount=2, syncMsg=中央数据库端发生异常, infoNode=null)
16:28:21.191 [node2] INFO  com.ntu.client2.sync.SendThread - 发送消息:SpotNode(infoId=38, nodeId=23, spotId=324, areaId=324, nodeName=32432, nodeType=432, nodeNote=null, infoNode=null)
16:28:31.194 [node2] INFO  com.ntu.client2.sync.SendThread - DataSync(infoId=38, infoType=P, syncType=1, syncStatus=2, successTime=null, failTime=Wed May 20 16:27:03 CST 2020, failCount=2, syncMsg=中央数据库端发生异常, infoNode=null)
16:28:32.208 [node2] INFO  com.ntu.client2.sync.SendThread - 发送消息:SpotNode(infoId=38, nodeId=23, spotId=324, areaId=324, nodeName=32432, nodeType=432, nodeNote=null, infoNode=null)
16:28:42.260 [node2] INFO  com.ntu.client2.sync.SendThread - DataSync(infoId=38, infoType=P, syncType=1, syncStatus=2, successTime=null, failTime=Wed May 20 16:27:03 CST 2020, failCount=2, syncMsg=中央数据库端发生异常, infoNode=null)
16:28:43.208 [node2] INFO  com.ntu.client2.sync.SendThread - 发送消息:SpotNode(infoId=38, nodeId=23, spotId=324, areaId=324, nodeName=32432, nodeType=432, nodeNote=null, infoNode=null)
16:28:53.223 [node2] INFO  com.ntu.client2.sync.SendThread - DataSync(infoId=38, infoType=P, syncType=1, syncStatus=2, successTime=null, failTime=Wed May 20 16:27:03 CST 2020, failCount=2, syncMsg=中央数据库端发生异常, infoNode=null)
16:28:54.214 [node2] INFO  com.ntu.client2.sync.SendThread - 发送消息:SpotNode(infoId=38, nodeId=23, spotId=324, areaId=324, nodeName=32432, nodeType=432, nodeNote=null, infoNode=null)
16:29:04.216 [node2] INFO  com.ntu.client2.sync.SendThread - DataSync(infoId=38, infoType=P, syncType=1, syncStatus=2, successTime=null, failTime=Wed May 20 16:27:03 CST 2020, failCount=2, syncMsg=中央数据库端发生异常, infoNode=null)
16:29:05.220 [node2] INFO  com.ntu.client2.sync.SendThread - 发送消息:SpotNode(infoId=38, nodeId=23, spotId=324, areaId=324, nodeName=32432, nodeType=432, nodeNote=null, infoNode=null)
16:29:05.226 [MQTT Call: tjh_node] INFO  com.ntu.client2.sync.NodeDataReceiver - 收到确认消息.....
16:29:15.224 [node2] INFO  com.ntu.client2.sync.SendThread - DataSync(infoId=38, infoType=P, syncType=1, syncStatus=2, successTime=null, failTime=Wed May 20 16:29:05 CST 2020, failCount=3, syncMsg=中央数据库端发生异常, infoNode=null)
16:29:16.228 [node2] INFO  com.ntu.client2.sync.SendThread - 发送消息:SpotNode(infoId=38, nodeId=23, spotId=324, areaId=324, nodeName=32432, nodeType=432, nodeNote=null, infoNode=null)
