21:22:52.951 [main] INFO  com.ntu.center.CenterClientApplication - Starting CenterClientApplication on LAPTOP-6SA701DM with PID 10016 (C:\Users\Lenovo\Desktop\datasync\datasync_center_client\target\classes started by Lenovo in C:\Users\Lenovo\Desktop\datasync)
21:22:52.960 [main] INFO  com.ntu.center.CenterClientApplication - No active profile set, falling back to default profiles: default
21:22:56.088 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 9999 (http)
21:22:56.110 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-9999"]
21:22:56.112 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
21:22:56.113 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.33]
21:22:56.444 [main] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
21:22:56.445 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 3359 ms
21:22:58.260 [main] INFO  org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
21:22:58.473 [main] INFO  org.springframework.boot.autoconfigure.web.servlet.WelcomePageHandlerMapping - Adding welcome page template: index
21:22:59.377 [main] INFO  com.ntu.common.client.EMQTTClient - connecting to server: ssl://127.0.0.1:8883
21:23:09.147 [main] INFO  com.ntu.center.CenterClientStart - 中央数据库节点成功连接至MQTT服务器.....
21:23:09.156 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-9999"]
21:23:09.241 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 9999 (http) with context path ''
21:23:09.249 [main] INFO  com.ntu.center.CenterClientApplication - Started CenterClientApplication in 18.055 seconds (JVM running for 24.293)
21:24:03.515 [MQTT Call: center] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
21:24:03.899 [MQTT Call: center] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
21:24:04.168 [MQTT Call: center] INFO  com.ntu.center.sync.CenterDataReceiver - tjh_node 节点的 AREA_SPOT 表中的 1 号数据同步成功 同步时间：Wed May 13 21:24:04 CST 2020
21:24:04.653 [MQTT Call: center] INFO  com.ntu.center.sync.CenterDataReceiver - tjh_node 节点的 BOX_SENSOR 表中的 2 号数据同步成功 同步时间：Wed May 13 21:24:04 CST 2020
21:25:31.687 [MQTT Call: center] INFO  com.ntu.center.sync.CenterDataReceiver - cj_node 节点的 AREA_SPOT 表中的 5 号数据同步成功 同步时间：Wed May 13 21:25:31 CST 2020
21:25:42.691 [MQTT Call: center] INFO  com.ntu.center.sync.CenterDataReceiver - cj_node 节点的 AREA_SPOT 表中的 6 号数据同步成功 同步时间：Wed May 13 21:25:42 CST 2020
21:25:53.692 [MQTT Call: center] INFO  com.ntu.center.sync.CenterDataReceiver - cj_node 节点的 AREA_SPOT 表中的 7 号数据同步成功 同步时间：Wed May 13 21:25:53 CST 2020
21:26:04.700 [MQTT Call: center] INFO  com.ntu.center.sync.CenterDataReceiver - cj_node 节点的 AREA_SPOT 表中的 7 号数据同步成功 同步时间：Wed May 13 21:26:04 CST 2020
21:27:05.740 [MQTT Call: center] INFO  com.ntu.center.sync.CenterDataReceiver - cj_node 节点的 BOX_SENSOR 表中的 3 号数据同步成功 同步时间：Wed May 13 21:27:05 CST 2020
21:27:16.739 [MQTT Call: center] INFO  com.ntu.center.sync.CenterDataReceiver - cj_node 节点的 BOX_SENSOR 表中的 63 号数据同步成功 同步时间：Wed May 13 21:27:16 CST 2020
21:27:27.775 [MQTT Call: center] INFO  com.ntu.center.sync.CenterDataReceiver - cj_node 节点的 BOX_SENSOR 表中的 64 号数据同步成功 同步时间：Wed May 13 21:27:27 CST 2020
21:27:48.794 [MQTT Call: center] INFO  com.ntu.center.sync.CenterDataReceiver - cj_node 节点的 CHANGJIANG_BOX_ENVIRONMENT 表中的 3 号数据同步成功 同步时间：Wed May 13 21:27:48 CST 2020
21:27:59.803 [MQTT Call: center] INFO  com.ntu.center.sync.CenterDataReceiver - cj_node 节点的 CHANGJIANG_BOX_ENVIRONMENT 表中的 71 号数据同步成功 同步时间：Wed May 13 21:27:59 CST 2020
21:28:40.930 [MQTT Call: center] INFO  com.ntu.center.sync.CenterDataReceiver - cj_node 节点的 CHANGJIANG_BOX_SENSOR 表中的 9 号数据同步失败
21:28:41.743 [MQTT Call: center] INFO  com.ntu.center.sync.CenterDataReceiver - cj_node 节点的 CHANGJIANG_BOX_SENSOR 表中的 13 号数据同步失败
21:28:52.738 [MQTT Call: center] INFO  com.ntu.center.sync.CenterDataReceiver - cj_node 节点的 CHANGJIANG_BOX_SENSOR 表中的 7 号数据同步失败
21:28:53.741 [MQTT Call: center] INFO  com.ntu.center.sync.CenterDataReceiver - cj_node 节点的 CHANGJIANG_BOX_SENSOR 表中的 9 号数据同步失败
21:28:54.828 [MQTT Call: center] INFO  com.ntu.center.sync.CenterDataReceiver - cj_node 节点的 CHANGJIANG_BOX_SENSOR 表中的 13 号数据同步失败
21:29:05.746 [MQTT Call: center] INFO  com.ntu.center.sync.CenterDataReceiver - cj_node 节点的 CHANGJIANG_BOX_SENSOR 表中的 7 号数据同步失败
21:29:06.748 [MQTT Call: center] INFO  com.ntu.center.sync.CenterDataReceiver - cj_node 节点的 CHANGJIANG_BOX_SENSOR 表中的 9 号数据同步失败
21:29:07.753 [MQTT Call: center] INFO  com.ntu.center.sync.CenterDataReceiver - cj_node 节点的 CHANGJIANG_BOX_SENSOR 表中的 13 号数据同步失败
21:29:18.750 [MQTT Call: center] INFO  com.ntu.center.sync.CenterDataReceiver - cj_node 节点的 CHANGJIANG_BOX_SENSOR 表中的 7 号数据同步失败
21:29:19.755 [MQTT Call: center] INFO  com.ntu.center.sync.CenterDataReceiver - cj_node 节点的 CHANGJIANG_BOX_SENSOR 表中的 9 号数据同步失败
21:29:20.769 [MQTT Call: center] INFO  com.ntu.center.sync.CenterDataReceiver - cj_node 节点的 CHANGJIANG_BOX_SENSOR 表中的 13 号数据同步失败
21:29:31.768 [MQTT Call: center] INFO  com.ntu.center.sync.CenterDataReceiver - cj_node 节点的 CHANGJIANG_BOX_SENSOR 表中的 7 号数据同步失败
21:29:32.776 [MQTT Call: center] INFO  com.ntu.center.sync.CenterDataReceiver - cj_node 节点的 CHANGJIANG_BOX_SENSOR 表中的 9 号数据同步失败
21:29:33.773 [MQTT Call: center] INFO  com.ntu.center.sync.CenterDataReceiver - cj_node 节点的 CHANGJIANG_BOX_SENSOR 表中的 13 号数据同步失败
