19:44:18.086 [main] INFO  com.ntu.node.Node1ClientApplication - Starting Node1ClientApplication on LAPTOP-6SA701DM with PID 10264 (C:\Users\Lenovo\Desktop\datasync\datasync_node1_client\target\classes started by Lenovo in C:\Users\Lenovo\Desktop\datasync)
19:44:18.107 [main] INFO  com.ntu.node.Node1ClientApplication - No active profile set, falling back to default profiles: default
19:44:20.861 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8083 (http)
19:44:20.878 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8083"]
19:44:20.880 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
19:44:20.880 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.33]
19:44:21.217 [main] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
19:44:21.218 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 2928 ms
19:44:22.093 [main] INFO  org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
19:44:22.681 [main] INFO  com.ntu.common.client.EMQTTClient - connecting to server: ssl://127.0.0.1:8883
19:44:29.296 [main] INFO  com.ntu.node.ClientStart - 长江结点成功连接至MQTT服务器.........
19:44:29.299 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8083"]
19:44:29.337 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8083 (http) with context path ''
19:44:29.341 [main] INFO  com.ntu.node.Node1ClientApplication - Started Node1ClientApplication in 13.334 seconds (JVM running for 16.99)
19:44:39.427 [node1] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
19:44:39.640 [node1] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
20:47:56.148 [main] INFO  com.ntu.node.Node1ClientApplication - Starting Node1ClientApplication on LAPTOP-6SA701DM with PID 14268 (C:\Users\Lenovo\Desktop\datasync\datasync_node1_client\target\classes started by Lenovo in C:\Users\Lenovo\Desktop\datasync)
20:47:56.155 [main] INFO  com.ntu.node.Node1ClientApplication - No active profile set, falling back to default profiles: default
20:47:59.849 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8083 (http)
20:47:59.873 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8083"]
20:47:59.875 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
20:47:59.876 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.33]
20:48:00.177 [main] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
20:48:00.177 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 3817 ms
20:48:01.348 [main] INFO  org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
20:48:02.156 [main] INFO  com.ntu.common.client.EMQTTClient - connecting to server: ssl://127.0.0.1:8883
20:48:08.840 [main] INFO  com.ntu.node.ClientStart - 长江结点成功连接至MQTT服务器.........
20:48:08.843 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8083"]
20:48:08.890 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8083 (http) with context path ''
20:48:08.896 [main] INFO  com.ntu.node.Node1ClientApplication - Started Node1ClientApplication in 14.405 seconds (JVM running for 19.8)
20:48:18.874 [node1] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
20:48:19.062 [node1] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
20:56:01.661 [main] INFO  com.ntu.node.Node1ClientApplication - Starting Node1ClientApplication on LAPTOP-6SA701DM with PID 5584 (C:\Users\Lenovo\Desktop\datasync\datasync_node1_client\target\classes started by Lenovo in C:\Users\Lenovo\Desktop\datasync)
20:56:01.668 [main] INFO  com.ntu.node.Node1ClientApplication - No active profile set, falling back to default profiles: default
20:56:04.295 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8083 (http)
20:56:04.312 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8083"]
20:56:04.313 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
20:56:04.313 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.33]
20:56:04.593 [main] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
20:56:04.594 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 2760 ms
20:56:05.270 [main] INFO  org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
20:56:05.751 [main] INFO  com.ntu.common.client.EMQTTClient - connecting to server: ssl://127.0.0.1:8883
20:56:12.380 [main] INFO  com.ntu.node.ClientStart - 长江结点成功连接至MQTT服务器.........
20:56:12.383 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8083"]
20:56:12.422 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8083 (http) with context path ''
20:56:12.427 [main] INFO  com.ntu.node.Node1ClientApplication - Started Node1ClientApplication in 12.139 seconds (JVM running for 15.216)
20:56:22.432 [node1] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
20:56:22.742 [node1] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
